newsdate,twcount,title,href
2014-12-24 00:00:00,9,"Trees, lights illuminate the year’s darkest nights",http://theplazz.com/2014/12/3097566/
2014-12-24 00:00:00,6,Uber’s goodwill toward cabs? A $2 booking fee,http://theplazz.com/2014/12/3099683/
2014-12-24 00:00:00,18,"Tweets of sadness, snark from the not-so-merry",http://theplazz.com/2014/12/3099939/
2014-12-24 00:00:00,5,Girl Scouts give Obama the royal treatment,http://theplazz.com/2014/12/3099762/
2014-12-24 00:00:00,7,Oil glut builds as prices continue to dive,http://theplazz.com/2014/12/3099108/
2014-12-24 00:00:00,55,"Believers wait, watch for jolly old St. Nicholas",http://theplazz.com/2014/12/3098350/
2014-12-24 00:00:00,10,"Despite hopes, no white Christmas for most",http://theplazz.com/2014/12/3099074/
2014-12-24 00:00:00,47,Sony Pictures releases ‘The Interview’ online,http://theplazz.com/2014/12/3098744/
2014-12-24 00:00:00,35,Season’s tweetings: On the road or at home,http://theplazz.com/2014/12/3097542/
2014-12-24 00:00:00,93,Tweeps share holiday greetings big and small,http://theplazz.com/2014/12/3097556/
2014-12-24 00:00:00,25,"Season’s tweetings: Gifts, gifts and more gifts",http://theplazz.com/2014/12/3097533/
2014-12-24 00:00:00,6,George H. Bush in ‘high spirits’ at Texas hospital,http://theplazz.com/2014/12/3097068/
2014-12-24 00:00:00,15,"Police near Ferguson shoot, kill black teen",http://theplazz.com/2014/12/3097579/
2014-12-23 00:00:00,7,"FDA to lift ban on gays donating blood, sort of",http://theplazz.com/2014/12/3095693/
2014-12-23 00:00:00,18,"Police, protesters and de Blasio: A no-win mix?",http://theplazz.com/2014/12/3096232/
2014-12-23 00:00:00,6,"Nightmare before Xmas: Burton, Carter split",http://theplazz.com/2014/12/3095870/
2014-12-23 00:00:00,11,"For Obama, year’s end brings approval",http://theplazz.com/2014/12/3096117/
2014-12-23 00:00:00,9,Storms loom as holiday travelers hit the road,http://theplazz.com/2014/12/3095818/
2014-12-23 00:00:00,8,Did ‘Lizard Squad’ play a role in Sony hack?,http://theplazz.com/2014/12/3095668/
2014-12-23 00:00:00,12,‘Entourage’ to hit the big screen Hollywood-style,http://theplazz.com/2014/12/3095410/
2014-12-23 00:00:00,52,Austin theater will show ‘The Interview’ on Xmas,http://theplazz.com/2014/12/3095084/
2014-12-23 00:00:00,67,Season’s tweetings: Elves work thru the night,http://theplazz.com/2014/12/3094446/
2014-12-23 00:00:00,26,"Rand Paul celebrates Festivus, airs grievances",http://theplazz.com/2014/12/3094131/
2014-12-23 00:00:00,25,3Q GDP revised to 5% on consumer spending,http://theplazz.com/2014/12/3093835/
2014-12-23 00:00:00,9,Elf on the shelf: Cute or creepy surveillance?,http://theplazz.com/2014/12/3093651/
2014-12-23 00:00:00,6,Campaign against ‘manspread’ earns jokes,http://theplazz.com/2014/12/3093235/
2014-12-23 00:00:00,11,Monday blues hit Peyton Manning especially hard,http://theplazz.com/2014/12/3093487/
2014-12-23 00:00:00,36,Widespread Internet outage affects N Korea,http://theplazz.com/2014/12/3091206/
2014-12-23 00:00:00,18,Rep. Grimm pleads guilty to tax evasion,http://theplazz.com/2014/12/3091359/
2014-12-23 00:00:00,12,Pope calls out Vatican ‘ailments’ in address,http://theplazz.com/2014/12/3090841/
2014-12-22 00:00:00,7,Republicans seek to install new CBO director,http://theplazz.com/2014/12/3092058/
2014-12-22 00:00:00,7,"‘The more things change,’ the saying goes",http://theplazz.com/2014/12/3089888/
2014-12-22 00:00:00,26,De Blasio calls for interim end to protests,http://theplazz.com/2014/12/3091671/
2014-12-22 00:00:00,7,Oil prices slide further on OPEC comments,http://theplazz.com/2014/12/3091739/
2014-12-22 00:00:00,23,Tweeps begin year-end retrospectives,http://theplazz.com/2014/12/3090683/
2014-12-22 00:00:00,10,Garbage truck plows into Glasgow shoppers,http://theplazz.com/2014/12/3090702/
2014-12-22 00:00:00,54,Iconic singer Joe Cocker dies of lung cancer,http://theplazz.com/2014/12/3091040/
2014-12-22 00:00:00,10,NYPD remains on high alert after shooting,http://theplazz.com/2014/12/3090234/
2014-12-22 00:00:00,9,Russia bails out Trust Bank amid ruble crisis,http://theplazz.com/2014/12/3090016/
2014-12-21 00:00:00,8,‘Homeland’ finale gives fans change of pace,http://theplazz.com/2014/12/3089296/
2014-12-21 00:00:00,55,Season’s tweetings: Xmas is almost here!,http://theplazz.com/2014/12/3087657/
2014-12-21 00:00:00,6,NYPD shooting sees gun rights debate reloaded,http://theplazz.com/2014/12/3088545/
2014-12-21 00:00:00,17,Will ‘The Interview’ see the light of day?,http://theplazz.com/2014/12/3088069/
2014-12-21 00:00:00,16,"Sharpton, unofficial race advisor role slammed",http://theplazz.com/2014/12/3087564/
2014-12-21 00:00:00,16,"Winter solstice brings long night, short day",http://theplazz.com/2014/12/3087862/
2014-12-21 00:00:00,10,Obama on Sony hack: Not ‘an act of war’,http://theplazz.com/2014/12/3087728/
2014-12-21 00:00:00,7,Crowley ends ‘State of the Union’ gig on CNN,http://theplazz.com/2014/12/3087491/
